entrytag,Actor,Description,Dialogue Text
Developer_21_1,Developer,,"This is your inventory, press number to use certain items in it"

Conversation 22,BattlePortal
Description,
entrytag,Actor,Description,Dialogue Text
Developer_22_1,Developer,,Hey you have found lots of bugs here!
Developer_22_2,Developer,,I think that's enough this map for now...
Developer_22_3,Developer,,"I've finished another map, please check it now!"

Conversation 23,StoneAttackTooManyTimes
Description,
entrytag,Actor,Description,Dialogue Text
Developer_23_1,Developer,,"You are dead, maybe be careful next time..."
Developer_23_2,Developer,,"Wait, you mean you are killed by one stone? That's not correct, let me check..."
Developer_23_3,Developer,,Oh I see! I should destroy the stone when it hits you! My fault! I will fix it!
Developer_23_4,Developer,,I will also add a button for you to restart the game when you die :)

Conversation 24,BossPortal
Description,
entrytag,Actor,Description,Dialogue Text
Developer_24_1,Developer,,Great! You are really talented! You are the best tester I've ever seen!
Developer_24_2,Developer,,"I created a Boss Battle map if you want to check it, it is still WIP but I'd like you to take a look first..."

Conversation 25,BossLose
Description,
entrytag,Actor,Description,Dialogue Text
Developer_25_1,Developer,,So.. What do you think of the Boss?
Developer_25_2,Developer,,"It's too hard and impossible to win? Yeah, yeah I know... I will fix that later..."
Developer_25_3,Developer,,"Before that, I'd like you to stay here until I fix it."
Developer_25_4,Developer,,What? You want to leave? Why? No way. I will not let you leave.
Developer_25_5,Developer,,"You have to stay here and help me fix all the bugs now, and later, until I finish this game."
Developer_25_6,Developer,,"Hey! Why so upset? You don't like my game? I think this would be a cool game and all players would like it, and you should be proud to be part of it!"

Conversation 26,GhostHelp
Description,
entrytag,Actor,Description,Dialogue Text
Bug_26_1,Bug,,I guess you failed fighting the boss.
Bug_26_2,Bug,,You are not the first tester get stuck in this game.
Bug_26_3,Bug,,This developer was hoping to get succeed in his  game and he get crazy after failing too many times.
Bug_26_4,Bug,,He tries to ruin everyone's life now. But there is a way to fix things and run away.
Bug_26_5,Bug,,I just turn on your ability to revert three fixes he did before.
Bug_26_6,Bug,,"With those bugs re-introduced, I'm sure there is a way to beat the boss."
Bug_26_7,Bug,,"And since the developer is working on the further game, he might not notice you and you can run away."
Bug_26_8,Bug,,Open the Bug Book to turn on certain bugs. You can only turn on three of them!

Conversation 27,bossInvincible
Description,
entrytag,Actor,Description,Dialogue Text
Boss_27_1,Boss,,AHHHHH!
Boss_27_2,Boss,,I..AM...UNBEATABLE!!!

Conversation 28,BossWin
Description,
entrytag,Actor,Description,Dialogue Text
Bug_28_1,Bug,,You won! Now get into that portal and leave this place!
Developer_28_2,Developer,,No! Don't leave me! Please stay! This game will be fun! I promise!
Bug_28_3,Bug,,Run! Before it's getting too late!
Developer_28_4,Developer,,At least.. leave a comment and let me know what do you think of the game...

Conversation 29,Bug2
Description,
entrytag,Actor,Description,Dialogue Text
Bug_29_1,Bug,,Why are you still here... Run...
Bug_29_2,Bug,,Before it's too late...

Conversation 30,Bug3
Description,
entrytag,Actor,Description,Dialogue Text
Bug_30_1,Bug,,What you are doing now is meaningless...
Bug_30_2,Bug,,You will be regret...
